@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}

@data
15,17,West,4,4,7,4,3,4,-29,1,0,1,1,0,-1,West
14,17,West,4,4,6,3,2,5,-30,0,1,1,1,0,-1,South
14,16,South,4,4,5,2,1,4,-31,1,1,1,0,0,-1,South
14,15,South,4,3,4,1,-1,3,168,1,0,1,1,0,-1,West
13,15,West,4,2,3,-1,-1,4,367,1,0,1,1,0,-1,West
12,15,West,4,2,2,-1,-1,5,366,0,0,1,1,0,-1,West
11,15,West,4,2,1,-1,-1,6,365,0,0,1,1,0,-1,West
10,15,West,4,1,-1,-1,-1,7,564,0,0,0,1,0,-1,East
11,15,East,4,1,-1,-1,-1,6,563,0,0,1,1,0,-1,East
12,15,East,4,1,-1,-1,-1,5,562,0,0,1,1,0,-1,East
13,15,East,4,1,-1,-1,-1,4,561,1,0,1,1,0,-1,East
14,15,East,4,1,-1,-1,-1,3,560,1,0,1,1,0,-1,East
15,15,East,4,1,-1,-1,-1,2,559,0,0,1,1,0,-1,East
16,15,East,4,1,-1,-1,-1,1,558,0,0,1,1,0,-1,East
16,15,East,4,1,-1,-1,-1,1,558,0,0,1,1,0,-1,East
8,1,West,4,4,4,6,7,15,99,1,0,1,1,67,1,North
8,2,North,4,4,3,5,6,14,98,1,1,0,0,67,2,North
8,3,North,4,4,2,4,5,13,97,0,1,0,1,67,2,East
9,3,East,4,4,3,3,4,12,96,1,0,1,1,67,3,North
9,4,North,4,4,2,2,3,11,95,1,1,0,0,67,2,North
