@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute 'Pacman y' numeric
@attribute ' prev_direction' {Stop,East,South,West,North}
@attribute ' score' numeric
@attribute ' direction' {Stop,East,South,West,North}

@data
5,East,649,East
5,East,648,East
5,East,647,East
5,East,646,East
5,East,645,East
5,East,644,East
5,East,643,East
5,East,642,South
4,South,641,South
3,South,640,Stop
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,191,East
11,East,190,East
11,East,189,East
11,East,188,South
10,South,187,South
9,South,186,South
8,South,185,South
7,South,184,South
6,South,283,South
5,South,282,West
5,West,281,West
5,West,280,West
5,West,279,West
5,West,278,West
5,West,277,West
5,West,476,West
5,West,475,West
5,West,474,West
5,West,473,East
5,East,472,East
5,East,471,East
5,East,470,East
5,East,469,East
5,East,468,East
5,East,467,East
5,East,466,East
5,East,465,East
5,East,464,East
5,East,463,East
5,East,462,East
5,East,461,East
5,East,460,West
5,West,459,West
5,West,458,West
5,West,657,West
5,West,656,West
5,West,655,West
5,West,654,West
5,West,653,South
4,South,652,South
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,Stop
11,Stop,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,-9,East
11,East,190,East
11,East,189,East
11,East,188,East
11,East,187,South
10,South,186,South
9,South,185,West
9,West,184,West
9,West,183,West
9,West,182,West
9,West,181,South
8,South,180,South
7,South,179,East
7,East,378,East
7,East,377,North
8,North,376,North
9,North,375,Stop
9,North,374,South
8,South,573,South
7,South,572,South
6,South,571,South
5,South,570,South
4,South,569,South
3,South,568,West
3,West,567,West
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,Stop
11,Stop,-4,Stop
11,Stop,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,-9,East
11,East,-10,East
11,East,189,East
11,East,188,East
11,East,187,East
11,East,186,South
10,South,185,South
9,South,184,South
8,South,183,South
7,South,182,West
7,West,181,West
7,West,380,West
7,West,379,West
7,West,378,West
7,West,577,West
7,West,576,West
7,West,575,West
7,West,574,West
7,West,573,South
6,South,572,South
5,South,571,East
5,East,570,East
5,East,569,East
5,East,568,East
5,East,567,East
5,East,566,East
5,East,565,East
5,East,564,East
5,East,563,East
5,East,562,East
5,East,561,East
5,East,560,East
5,East,559,South
4,South,558,South
3,South,557,East
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,193,East
11,East,192,East
11,East,191,East
11,East,190,East
11,East,389,East
11,East,388,East
11,East,387,East
11,East,386,East
11,East,385,East
11,East,384,South
10,South,483,South
9,South,482,South
8,South,481,South
7,South,480,South
6,South,479,South
5,South,678,East
5,East,677,East
5,East,676,East
5,East,675,West
5,West,674,West
5,West,673,West
5,West,672,West
5,West,671,West
5,West,670,West
5,West,669,West
5,West,668,West
5,West,667,West
5,West,666,West
5,West,665,South
4,South,664,South
3,South,663,Stop
3,South,662,Stop
