@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R4,6-8,11-14,17-weka.filters.unsupervised.attribute.Remove-R3'

@attribute Px numeric
@attribute Py numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Score numeric

@data
7,7,4,3,1081,103,2,1080
8,7,4,3,1080,103,3,1479
9,7,2,1,1479,103,2,1478
9,8,2,1,1478,103,1,1577
9,9,2,2,1577,102,1,1676
9,10,2,4,1676,101,1,1975
9,11,1,5,1973,100,1,1972
9,10,1,4,1972,100,1,1971
9,9,1,4,1971,100,1,1970
9,8,1,3,1970,100,2,1969
9,7,1,2,1969,100,3,1968
10,7,1,1,1968,100,2,1968
10,7,1,1,1968,100,2,2167
3,3,4,12,-9,2,3,190
2,3,3,12,190,2,2,389
1,3,2,-1,388,2,2,587
1,2,2,-1,587,2,1,1086
1,1,2,-1,1285,1,1,1384
2,1,2,-1,1384,0,-1,1383
3,1,2,-1,1383,0,-1,1382
4,1,2,-1,1382,0,-1,1781
5,1,1,-1,1781,0,-1,2180
6,1,1,9,2180,0,-1,2179
7,1,1,-1,2179,0,-1,2178
8,1,1,-1,2178,0,-1,2177
9,1,1,-1,2177,0,-1,2176
9,2,1,-1,2176,0,-1,2175
9,3,1,-1,2175,0,-1,2174
10,3,1,-1,2174,0,-1,2173
11,3,1,-1,2173,0,-1,2172
12,3,1,3,2172,0,-1,2171
13,3,1,1,2171,0,-1,2171
13,3,1,1,2171,0,-1,2370
15,3,4,13,-5,0,-1,-6
15,4,4,13,-6,0,-1,-7
15,5,4,12,-7,0,-1,-8
16,5,4,10,-8,0,-1,-9
17,5,4,12,-9,0,-1,-10
18,5,4,14,-10,0,-1,-11
18,6,4,14,-11,0,-1,-12
18,7,4,13,-12,0,-1,-13
18,8,4,11,-13,0,-1,-14
17,8,4,9,-14,0,-1,-15
16,8,4,7,-15,0,-1,-16
15,8,4,9,-16,0,-1,-17
15,9,4,8,-17,0,-1,-18
15,10,4,6,-18,0,-1,-19
15,11,4,5,-19,0,-1,-20
16,11,4,5,-20,0,-1,-21
17,11,4,5,-21,0,-1,-22
18,11,4,5,-22,0,-1,-23
19,11,4,6,-23,0,-1,-24
19,12,4,5,-24,0,-1,-25
19,13,4,4,-25,0,-1,-26
19,14,4,4,-26,0,-1,-27
19,15,4,3,-27,0,-1,-28
19,16,4,4,-28,0,-1,-29
19,17,4,4,-30,0,-1,-31
18,17,4,3,-31,0,-1,-32
17,17,4,2,-32,0,-1,-33
16,17,4,3,-33,0,-1,-34
15,17,4,3,-34,0,-1,165
14,17,3,4,165,0,-1,164
14,16,3,3,164,0,-1,363
14,15,2,1,362,0,-1,561
15,15,1,-1,561,0,-1,560
16,15,1,-1,560,0,-1,559
15,15,1,-1,559,0,-1,559
15,15,1,-1,559,0,-1,757
8,1,4,12,94,67,1,93
8,2,4,12,93,67,2,92
8,3,4,11,90,67,2,289
9,3,3,9,289,67,3,288
9,4,3,7,288,67,2,287
9,3,3,9,287,67,3,286
9,4,3,7,286,67,2,285
9,3,3,7,285,67,3,284
9,4,3,8,284,67,2,283
9,3,3,6,283,67,3,282
9,4,3,8,282,67,2,281
9,5,3,9,281,67,1,380
9,6,3,9,380,66,1,479
9,7,3,11,478,65,1,577
10,7,3,-1,577,64,1,676
11,7,3,-1,676,63,1,975
12,7,2,-1,975,62,1,1074
13,7,2,-1,1073,61,1,1172
13,6,2,-1,1172,60,1,1271
13,5,2,-1,1271,59,1,1370
14,5,2,-1,1370,58,1,1469
15,5,2,-1,1469,57,1,1568
16,5,2,-1,1568,56,1,1667
17,5,2,-1,1667,55,1,1766
18,5,2,-1,1765,54,1,1864
18,4,2,-1,1864,53,1,1963
18,3,2,-1,1963,52,1,2062
18,2,2,-1,2062,51,1,2161
18,1,1,-1,2358,50,1,2457
17,1,1,-1,2457,49,1,2556
16,1,1,-1,2556,48,1,2655
15,1,1,-1,2654,47,1,2753
15,2,1,-1,2753,46,1,2852
15,3,1,-1,2852,45,1,2951
16,3,1,-1,2950,44,1,3049
16,4,1,-1,3049,43,3,3048
16,5,1,13,3048,43,2,3047
15,5,1,12,3047,43,1,3046
14,5,1,11,3046,43,2,3045
13,5,1,9,3045,43,1,3044
13,6,1,9,3044,43,2,3043
13,7,1,8,3042,43,2,3041
12,7,1,7,3041,43,3,3040
11,7,1,7,3040,43,2,3039
10,7,1,7,3039,43,1,3038
9,7,1,5,3038,43,1,3137
8,7,1,5,3137,42,1,3236
7,7,1,4,3236,41,1,3335
6,7,1,4,3335,40,1,3434
6,6,1,4,3434,39,1,3733
6,5,1,4,3733,38,1,3832
5,5,1,4,3832,37,1,3931
4,5,1,3,3931,36,1,4030
3,5,1,2,4030,35,1,4129
2,5,1,1,4129,34,1,4428
1,5,1,-1,4428,33,1,4527
1,4,1,9,4527,32,1,4626
1,3,1,-1,4626,31,1,4626
1,3,1,-1,4626,31,1,4825
2,6,4,14,-6,0,-1,-7
3,6,4,13,-7,0,-1,-8
4,6,4,12,-8,0,-1,-9
5,6,4,11,-9,0,-1,-10
6,6,4,10,-10,0,-1,-11
7,6,4,9,-11,0,-1,188
8,6,3,8,188,0,-1,187
9,6,3,7,187,0,-1,186
10,6,3,6,186,0,-1,185
11,6,3,5,185,0,-1,184
12,6,3,4,184,0,-1,183
13,6,3,3,183,0,-1,182
14,6,3,2,182,0,-1,181
15,6,3,1,181,0,-1,380
16,6,2,-1,380,0,-1,379
16,5,2,-1,379,0,-1,378
16,4,2,-1,378,0,-1,377
16,3,2,-1,377,0,-1,376
15,3,2,-1,376,0,-1,375
14,3,2,-1,375,0,-1,374
13,3,2,-1,374,0,-1,373
12,3,2,-1,373,0,-1,572
11,3,1,-1,572,0,-1,571
11,4,1,-1,570,0,-1,569
10,4,1,-1,569,0,-1,568
9,4,1,-1,568,0,-1,567
8,4,1,-1,567,0,-1,566
7,4,1,-1,566,0,-1,566
7,4,1,-1,566,0,-1,765
8,1,4,9,94,113,1,193
7,1,4,9,193,112,1,292
6,1,4,11,292,111,1,391
6,2,4,9,391,110,1,490
6,3,4,9,490,109,1,589
6,4,4,9,589,108,1,688
6,5,4,7,688,107,1,787
6,6,4,5,787,106,1,1086
6,7,3,4,1086,105,1,1185
6,8,3,6,1185,104,1,1284
6,9,3,6,1284,103,1,1383
7,9,3,3,1378,102,2,1377
6,9,3,5,1377,102,1,1476
6,10,3,5,1476,101,1,1575
6,11,3,7,1575,100,1,1674
7,11,3,6,1674,99,1,1773
8,11,3,4,1773,98,1,1872
9,11,3,3,1872,97,1,1971
10,11,3,3,1971,96,1,2270
10,10,2,1,2270,95,1,2369
10,9,2,3,2369,94,1,2368
10,8,2,3,2368,94,2,2367
9,8,2,3,2366,94,1,2465
9,9,2,3,2465,93,1,2564
9,10,2,1,2564,92,3,2763
9,11,1,-1,2762,92,2,2761
8,11,1,-1,2761,92,3,2760
7,11,1,-1,2760,92,3,2759
6,11,1,-1,2759,92,2,2758
6,10,1,-1,2758,92,2,2757
6,9,1,-1,2757,92,1,2756
6,8,1,-1,2756,92,2,2755
6,7,1,-1,2755,92,1,2754
6,6,1,-1,2754,92,1,2953
6,5,1,-1,2953,92,1,2952
6,4,1,-1,2952,92,1,2951
6,3,1,-1,2951,92,1,2950
6,2,1,-1,2950,92,2,2949
6,1,1,-1,2949,92,2,3148
7,1,1,-1,3148,92,2,3147
8,1,1,3,3147,92,2,3147
8,1,1,3,3147,92,2,33451
8,1,4,9,94,113,1,193
7,1,4,10,193,112,1,292
6,1,4,11,291,111,1,390
6,2,4,9,390,110,1,489
6,3,4,7,489,109,1,588
6,4,4,5,588,108,1,887
5,4,3,6,887,107,1,986
4,4,3,6,986,106,1,1085
3,4,3,5,1084,105,1,1183
3,3,3,5,1182,104,1,1281
4,3,3,3,1281,103,1,1380
4,2,3,4,1380,102,1,1479
4,1,3,5,1479,101,1,1578
3,1,3,6,1578,100,1,1677
2,1,3,7,1677,99,2,1876
1,1,3,8,1876,99,1,1875
2,1,3,6,1875,99,2,2074
3,1,3,4,2074,99,3,2273
4,1,3,5,2269,99,3,2268
4,2,3,4,2268,99,2,2267
4,3,3,2,2267,99,1,2466
4,4,2,-1,2466,99,1,2465
3,4,2,-1,2463,99,1,2562
3,5,2,6,2562,98,1,2661
3,6,2,7,2661,97,1,2760
4,6,2,-1,2760,96,1,2859
5,6,2,5,2859,95,1,2958
6,6,2,4,2958,94,1,3057
6,7,2,4,3057,93,1,3156
6,8,2,6,3156,92,1,3255
6,9,2,6,3255,91,1,3354
7,9,2,4,3350,90,2,3349
6,9,2,2,3349,90,1,3448
6,10,2,2,3448,89,1,3547
6,11,2,4,3547,88,1,3646
7,11,2,4,3646,87,1,3745
8,11,2,5,3745,86,1,3844
9,11,2,5,3844,85,1,3943
10,11,2,7,3943,84,1,4042
10,10,2,5,4042,83,1,4141
10,9,2,5,4141,82,1,4140
10,8,2,7,4140,82,2,4139
10,7,2,10,4138,82,3,4137
9,7,2,10,4137,82,2,4136
9,8,2,9,4136,82,1,4235
9,9,2,7,4235,81,1,4334
9,10,2,6,4334,80,3,4333
9,11,2,5,4333,80,2,4332
8,11,2,5,4332,80,3,4331
7,11,2,5,4331,80,3,4330
6,11,2,3,4328,80,2,4327
6,10,2,2,4327,80,2,4526
6,9,1,2,4526,80,1,4525
7,9,1,5,4523,80,2,4522
6,9,1,4,4522,80,1,4521
6,8,1,4,4521,80,2,4520
6,7,1,4,4520,80,1,4519
6,6,1,5,4519,80,1,4818
6,5,1,5,4818,79,1,4817
6,4,1,5,4817,79,2,4816
5,4,1,3,4816,79,1,4815
4,4,1,3,4815,79,1,4815
4,4,1,3,4815,79,1,5013
