@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R4,6-9,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-9-weka.filters.unsupervised.attribute.AddExpression-Ea6+a7-Nnorth-south-weka.filters.unsupervised.attribute.AddExpression-Ea8+a9-Neast-west-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,12,13,11-weka.filters.unsupervised.attribute.NumericToNominal-R6-9-weka.filters.unsupervised.attribute.NumericToNominal-R11-12'

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute LivingGhost numeric
@attribute PrevScore numeric
@attribute North=1 {0,1}
@attribute South=1 {0,1}
@attribute West=1 {0,1}
@attribute East=1 {0,1}
@attribute FoodNum numeric
@attribute north-south {0,1,2}
@attribute east-west {0,1,2}
@attribute Action {North,South,East,West,Stop}

@data
9,7,North,2,678,0,1,1,1,65,1,2,West
8,7,West,2,777,0,0,1,1,64,0,2,West
7,7,West,2,876,0,0,1,1,63,0,2,West
6,7,West,1,1175,0,1,0,1,62,1,1,South
6,6,South,1,1274,1,1,0,0,61,2,0,South
6,5,South,1,1373,1,1,1,1,60,2,2,East
7,5,East,1,1372,0,0,1,1,60,0,2,East
8,5,East,1,1371,0,0,1,1,60,0,2,East
9,5,East,1,1370,1,1,1,1,60,2,2,North
9,6,North,1,1369,1,1,0,1,60,2,1,North
9,7,North,1,1368,0,1,1,1,60,1,2,East
10,7,East,1,1467,0,1,1,1,59,1,2,East
11,7,East,1,1566,0,0,1,1,58,0,2,East
12,7,East,1,1665,0,0,1,1,57,0,2,East
13,7,East,1,1764,0,1,1,0,56,1,1,South
13,6,South,1,1863,1,1,0,0,55,2,0,South
13,5,South,1,1962,1,1,0,1,54,2,1,East
14,5,East,1,2061,0,0,1,1,53,0,2,East
15,5,East,1,2160,1,0,1,1,52,1,2,East
16,5,East,1,2259,0,1,1,1,51,1,2,East
17,5,East,1,2358,0,0,1,1,50,0,2,East
18,5,East,1,2457,1,1,1,0,49,2,1,South
18,4,South,1,2556,1,1,0,0,48,2,0,South
18,3,South,1,2655,1,1,0,0,47,2,0,South
18,2,South,1,2754,1,1,0,0,46,2,0,South
18,2,South,1,2754,1,1,0,0,46,2,0,South
2,6,East,4,-8,0,0,1,1,0,0,2,East
3,6,East,4,-9,0,0,1,1,0,0,2,East
4,6,East,4,-10,0,0,1,1,0,0,2,East
5,6,East,4,-11,0,0,1,1,0,0,2,East
6,6,East,4,-12,0,0,1,1,0,0,2,East
7,6,East,4,-13,0,1,1,1,0,1,2,East
8,6,East,3,186,0,0,1,1,0,0,2,East
9,6,East,3,185,0,0,1,1,0,0,2,East
10,6,East,3,184,0,0,1,1,0,0,2,East
11,6,East,3,183,0,0,1,1,0,0,2,East
12,6,East,3,182,0,0,1,1,0,0,2,East
13,6,East,3,181,0,0,1,1,0,0,2,East
14,6,East,3,180,0,1,1,1,0,1,2,East
15,6,East,3,179,0,0,1,1,0,0,2,East
16,6,East,2,378,0,1,1,1,0,1,2,South
16,5,South,2,377,1,1,0,0,0,2,0,South
16,4,South,2,376,1,1,1,1,0,2,2,South
16,3,South,2,375,1,0,1,1,0,1,2,West
15,3,West,2,374,1,0,1,1,0,1,2,West
14,3,West,2,373,1,0,1,1,0,1,2,West
13,3,West,2,372,1,0,1,1,0,1,2,West
12,3,West,2,371,1,0,1,1,0,1,2,West
11,3,West,1,570,1,0,1,1,0,1,2,West
10,3,West,1,569,1,0,1,1,0,1,2,North
10,4,North,1,567,0,1,1,1,0,1,2,West
9,4,West,1,566,0,1,1,1,0,1,2,West
8,4,West,1,565,0,1,1,1,0,1,2,West
7,4,West,1,564,1,1,1,1,0,2,2,West
7,4,West,1,564,1,1,1,1,0,2,2,West
10,1,East,4,94,0,0,1,1,113,0,2,East
11,1,East,4,193,0,0,1,1,112,0,2,West
10,1,West,4,192,0,0,1,1,112,0,2,West
9,1,West,4,191,0,0,1,1,112,0,2,West
8,1,West,4,290,0,0,1,1,111,0,2,West
7,1,West,4,389,0,0,1,1,110,0,2,West
6,1,West,4,488,1,0,0,1,109,1,1,North
6,2,North,4,587,1,1,0,0,108,2,0,North
6,3,North,4,686,1,1,1,1,107,2,2,North
6,4,North,4,785,1,1,1,0,106,2,1,North
6,5,North,4,884,1,1,1,0,105,2,1,North
6,6,North,4,983,1,1,1,0,104,2,1,North
6,7,North,4,1082,1,1,1,1,103,2,2,East
7,7,East,4,1081,0,0,1,1,103,0,2,East
8,7,East,4,1080,0,0,1,1,103,0,2,East
9,7,East,2,1479,1,0,1,1,103,1,2,North
9,8,North,2,1478,1,1,0,1,103,2,1,North
9,9,North,2,1577,1,1,0,1,102,2,1,North
9,10,North,2,1676,1,1,0,1,101,2,1,North
9,11,North,1,1973,0,1,1,1,100,1,2,South
9,10,South,1,1972,1,1,0,1,100,2,1,South
9,9,South,1,1971,1,1,0,1,100,2,1,South
9,8,South,1,1970,1,1,0,1,100,2,1,South
9,7,South,1,1969,1,0,1,1,100,1,2,East
10,7,East,1,1968,1,0,1,1,100,1,2,East
10,7,East,1,1968,1,0,1,1,100,1,2,East
3,3,West,4,-9,0,0,1,1,2,0,2,West
2,3,West,3,190,0,0,1,1,2,0,2,West
1,3,West,2,388,0,1,0,1,2,1,1,South
1,2,South,2,587,1,1,0,0,2,2,0,South
1,1,South,2,1285,1,0,0,1,1,1,1,East
2,1,East,2,1384,0,0,1,1,0,0,2,East
3,1,East,2,1383,0,0,1,1,0,0,2,East
4,1,East,2,1382,0,0,1,1,0,0,2,East
5,1,East,1,1781,0,0,1,1,0,0,2,East
6,1,East,1,2180,0,0,1,1,0,0,2,East
7,1,East,1,2179,0,0,1,1,0,0,2,East
8,1,East,1,2178,0,0,1,1,0,0,2,East
9,1,East,1,2177,1,0,1,1,0,1,2,North
9,2,North,1,2176,1,1,0,0,0,2,0,North
9,3,North,1,2175,0,1,1,1,0,1,2,East
10,3,East,1,2174,0,0,1,1,0,0,2,East
11,3,East,1,2173,0,0,1,1,0,0,2,East
12,3,East,1,2172,0,0,1,1,0,0,2,East
13,3,East,1,2171,0,0,1,1,0,0,2,East
13,3,East,1,2171,0,0,1,1,0,0,2,East
15,3,East,4,-5,1,0,1,1,0,1,2,North
15,4,North,4,-6,1,1,0,0,0,2,0,North
15,5,North,4,-7,0,1,0,1,0,1,1,East
16,5,East,4,-8,0,0,1,1,0,0,2,East
17,5,East,4,-9,0,0,1,1,0,0,2,East
18,5,East,4,-10,1,0,1,0,0,1,1,North
18,6,North,4,-11,1,1,0,0,0,2,0,North
18,7,North,4,-12,1,1,0,0,0,2,0,North
18,8,North,4,-13,0,1,1,1,0,1,2,West
17,8,West,4,-14,0,0,1,1,0,0,2,West
16,8,West,4,-15,0,0,1,1,0,0,2,West
15,8,West,4,-16,1,0,1,1,0,1,2,North
15,9,North,4,-17,1,1,0,0,0,2,0,North
15,10,North,4,-18,1,1,0,0,0,2,0,North
15,11,North,4,-19,0,1,0,1,0,1,1,East
16,11,East,4,-20,0,0,1,1,0,0,2,East
17,11,East,4,-21,0,0,1,1,0,0,2,East
18,11,East,4,-22,0,0,1,1,0,0,2,East
19,11,East,4,-23,1,0,1,1,0,1,2,North
19,12,North,4,-24,1,1,0,0,0,2,0,North
19,13,North,4,-25,1,1,1,0,0,2,1,North
19,14,North,4,-26,1,1,0,0,0,2,0,North
19,15,North,4,-27,1,1,0,1,0,2,1,North
19,16,North,4,-28,1,1,0,0,0,2,0,North
19,17,North,4,-30,0,1,1,0,0,1,1,West
18,17,West,4,-31,0,0,1,1,0,0,2,West
17,17,West,4,-32,0,0,1,1,0,0,2,West
16,17,West,4,-33,0,0,1,1,0,0,2,West
15,17,West,4,-34,1,0,1,1,0,1,2,West
14,17,West,3,165,0,1,1,1,0,1,2,South
14,16,South,3,164,1,1,1,0,0,2,1,South
14,15,South,2,362,1,0,1,1,0,1,2,East
15,15,East,1,561,0,0,1,1,0,0,2,East
16,15,East,1,560,0,0,1,1,0,0,2,West
15,15,West,1,559,0,0,1,1,0,0,2,West
15,15,West,1,559,0,0,1,1,0,0,2,West
8,1,West,4,94,1,0,1,1,67,1,2,North
8,2,North,4,93,1,1,0,0,67,2,0,North
8,3,North,4,90,0,1,0,1,67,1,1,East
9,3,East,3,289,1,0,1,1,67,1,2,North
9,4,North,3,288,1,1,0,0,67,2,0,South
9,3,South,3,287,1,0,1,1,67,1,2,North
9,4,North,3,286,1,1,0,0,67,2,0,South
9,3,South,3,285,1,0,1,1,67,1,2,North
9,4,North,3,284,1,1,0,0,67,2,0,South
9,3,South,3,283,1,0,1,1,67,1,2,North
9,4,North,3,282,1,1,0,0,67,2,0,North
9,5,North,3,281,1,1,1,1,67,2,2,North
9,6,North,3,380,1,1,0,1,66,2,1,North
9,7,North,3,478,0,1,1,1,65,1,2,East
10,7,East,3,577,0,1,1,1,64,1,2,East
11,7,East,3,676,0,0,1,1,63,0,2,East
12,7,East,2,975,0,0,1,1,62,0,2,East
13,7,East,2,1073,0,1,1,0,61,1,1,South
13,6,South,2,1172,1,1,0,0,60,2,0,South
13,5,South,2,1271,1,1,0,1,59,2,1,East
14,5,East,2,1370,0,0,1,1,58,0,2,East
15,5,East,2,1469,1,0,1,1,57,1,2,East
16,5,East,2,1568,0,1,1,1,56,1,2,East
17,5,East,2,1667,0,0,1,1,55,0,2,East
18,5,East,2,1765,1,1,1,0,54,2,1,South
18,4,South,2,1864,1,1,0,0,53,2,0,South
18,3,South,2,1963,1,1,0,0,52,2,0,South
18,2,South,2,2062,1,1,0,0,51,2,0,South
18,1,South,1,2358,1,0,1,0,50,1,1,West
17,1,West,1,2457,0,0,1,1,49,0,2,West
16,1,West,1,2556,0,0,1,1,48,0,2,West
